Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0402_1005Metric,98.65,-86.99,0,top
C2,0.1uF,C_0402_1005Metric,98.65,-88.96,0,top
C3,0.1uF,C_0402_1005Metric,98.65,-90.93,0,top
C4,0.1uF,C_0402_1005Metric,100.02,-112,0,top
C5,0.1uF,C_0402_1005Metric,100.02,-113.03,0,top
C6,0.1uF,C_0402_1005Metric,100.02,-115,0,top
C7,0.1uF,C_0402_1005Metric,101.52,-86.99,0,top
C8,0.1uF,C_0402_1005Metric,101.52,-88.96,0,top
C9,1uF,C_0402_1005Metric,101.52,-90.93,0,top
C10,1uF,C_0402_1005Metric,102.89,-112,0,top
C11,0.1uF,C_0402_1005Metric,102.89,-113.03,0,top
C12,0.1uF,C_0402_1005Metric,102.89,-115,0,top
C13,10uF,C_0603_1608Metric,95,-84.5,-90,top
C14,10uF,C_0603_1608Metric,97,-99.5,0,top
C15,33pF,C_0402_1005Metric,104.39,-85.06,0,top
C16,33pF,C_0402_1005Metric,95,-116.5,180,top
C17,0.1uF,C_0402_1005Metric,104.39,-89,0,top
J1,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,100,-77,180,top
J2,Conn_01x20,PinHeader_1x20_P2.54mm_Vertical,91.11,-75.87,0,top
J3,Conn_01x20,PinHeader_1x20_P2.54mm_Vertical,108.89,-75.87,0,top
J4,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,97.46,-123.89,90,top
R1,5.1k,R_0402_1005Metric,95.76,-87,0,top
R2,5.1k,R_0402_1005Metric,95.76,-88.99,0,top
R3,27,R_0402_1005Metric,95.76,-90.98,0,top
R4,27,R_0402_1005Metric,97.13,-111.13,0,top
R5,1k,R_0402_1005Metric,94.5,-123,0,top
R6,10k,R_0402_1005Metric,97.13,-115.11,180,top
R7,1k,R_0402_1005Metric,105,-117.5,-90,top
SW1,SW_Push,SW_Push_SPST_NO_Alps_SKRK,101.4,-119.5,0,top
U1,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,100,-105,0,top
U3,W25Q128JVS,SOIC-8_5.3x5.3mm_P1.27mm,100,-95.5,0,top
U4,MCP1700x-330xxTT,SOT-23,99.5,-84.5,90,top
Y1,12MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,96,-119.5,0,top
